Asset tag,Model category,Display name,Assigned to,Company,State,Substate,Cost,Configuration Item
VFNA020035,Computers,VFNA020035 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,HTDJTG2
VFNA020036,Computers,VFNA020036 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,2YDJTG2
VFNA020095,Computers,VFNA020095 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,DHK8YY2
VFNA020096,Computers,VFNA020096 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,GY0BYY2
VFNA020097,Computers,VFNA020097 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8JK8YY2
VFNA020098,Computers,VFNA020098 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,4JK8YY2
VFNA020099,Computers,VFNA020099 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9JK8YY2
VFNA020100,Computers,VFNA020100 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,DRC8YY2
VFNA020101,Computers,VFNA020101 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,FMK8YY2
VFNA020102,Computers,VFNA020102 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,CXX8YY2
VFNA020103,Computers,VFNA020103 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,5MK8YY2
VFNA020104,Computers,VFNA020104 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,3F39YY2
VFNA020105,Computers,VFNA020105 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9WX8YY2
VFNA020106,Computers,VFNA020106 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,2WC8YY2
VFNA020107,Computers,VFNA020107 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8WC8YY2
VFNA020108,Computers,VFNA020108 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,CWC8YY2
VFNA020109,Computers,VFNA020109 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9TC8YY2
VFNA020110,Computers,VFNA020110 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,84R8YY2
VFNA020111,Computers,VFNA020111 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,7SC8YY2
VFNA020112,Computers,VFNA020112 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,CSC8YY2
VFNA020113,Computers,VFNA020113 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,J9R8YY2
VFNA020114,Computers,VFNA020114 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,F2R8YY2
VFNA020115,Computers,VFNA020115 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8LK8YY2
VFNA020116,Computers,VFNA020116 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,5VC8YY2
VFNA020117,Computers,VFNA020117 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,FPN9YY2
VFNA020118,Computers,VFNA020118 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,6MN9YY2
VFNA020119,Computers,VFNA020119 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,4LK8YY2
VFNA020120,Computers,VFNA020120 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,5K39YY2
VFNA020121,Computers,VFNA020121 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,6YC8YY2
VFNA020122,Computers,VFNA020122 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,67R8YY2
VFNA020123,Computers,VFNA020123 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,7LK8YY2
VFNA020124,Computers,VFNA020124 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,BMK8YY2
VFNA020125,Computers,VFNA020125 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,BQG9YY2
VFNA020126,Computers,VFNA020126 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9BR8YY2
VFNA020127,Computers,VFNA020127 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,GMK8YY2
VFNA020128,Computers,VFNA020128 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,JJ39YY2
VFNA020129,Computers,VFNA020129 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,2J39YY2
VFNA020130,Computers,VFNA020130 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,HWX8YY2
VFNA020131,Computers,VFNA020131 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,1XX8YY2
